Contract Account,Meterid,CoCd,OPCO,ApprovedDate
10053803713,102970003,1160,NYSEG,1999-01-01
10051370665,102970004,1160,NYSEG,1999-01-01
10042762970,102970005,1160,NYSEG,1999-01-01
10010714839,102970011,1160,NYSEG,1999-01-01
10045571121,102970012,1160,NYSEG,1999-01-01
10010714755,102970013,1160,NYSEG,1999-01-01
10039473904,102970014,1160,NYSEG,1999-01-01
10090838110,102970015,1160,NYSEG,1999-01-01
10014190135,102970016,1160,NYSEG,1999-01-01
10037892154,102970017,1160,NYSEG,1999-01-01
10037655114,102970018,1160,NYSEG,1999-01-01
10010714706,102970021,1160,NYSEG,1999-01-01
10052526398,102970022,1160,NYSEG,1999-01-01
10051109766,102970023,1160,NYSEG,1999-01-01
10053478052,102970024,1160,NYSEG,1999-01-01
10015299208,102970025,1160,NYSEG,1999-01-01
10013680987,102970026,1160,NYSEG,1999-01-01
10046648241,102970027,1160,NYSEG,1999-01-01
10013680714,102970028,1160,NYSEG,1999-01-01
10040051129,102970029,1160,NYSEG,1999-01-01
10052740999,102970030,1160,NYSEG,1999-01-01
10042615665,102970031,1160,NYSEG,1999-01-01
10013680938,102970032,1160,NYSEG,1999-01-01
10036317518,102970033,1160,NYSEG,1999-01-01
10011563052,102970035,1160,NYSEG,1999-01-01
10011563060,102970036,1160,NYSEG,1999-01-01
10011563169,102970037,1160,NYSEG,1999-01-01
10090794198,102970038,1160,NYSEG,1999-01-01
10053029640,102970039,1160,NYSEG,1999-01-01
10044268737,102970040,1160,NYSEG,1999-01-01
10090486803,102970041,1160,NYSEG,1999-01-01
10023507345,102970042,1160,NYSEG,1999-01-01
10036537651,102970043,1160,NYSEG,1999-01-01
10011563896,102970044,1160,NYSEG,1999-01-01
10053275409,102970045,1160,NYSEG,1999-01-01
10011562534,102970046,1160,NYSEG,1999-01-01
10090455188,102970047,1160,NYSEG,1999-01-01
10043007169,102970048,1160,NYSEG,1999-01-01
10090020370,102970050,1160,NYSEG,1999-01-01
10049857500,102970051,1160,NYSEG,1999-01-01
10039824619,102970052,1160,NYSEG,1999-01-01
10011615043,102970054,1160,NYSEG,1999-01-01
